Generic node info per pod:
	Node:bramega380.internal.domain - Has no CPU requests for Pod:argo-events-controller-manager-7dd45798b7-smtqh | Container:controller-manager
	Node:bramega340.internal.domain - Has no CPU requests for Pod:popgpas-redis-cluster-node-0 | Container:metrics
	Node:bramega340.internal.domain - Has no Memory requests for Pod:popgpas-redis-cluster-node-0 | Container:metrics
	Node:bramega370.internal.domain - Has no CPU requests for Pod:popgpas-redis-cluster-node-1 | Container:metrics
	Node:bramega370.internal.domain - Has no Memory requests for Pod:popgpas-redis-cluster-node-1 | Container:metrics
	Node:bramega360.internal.domain - Has no CPU requests for Pod:popgpas-redis-cluster-node-2 | Container:metrics
	Node:bramega360.internal.domain - Has no Memory requests for Pod:popgpas-redis-cluster-node-2 | Container:metrics
	Node:bramega340.internal.domain - Has no CPU requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:get-facts
	Node:bramega340.internal.domain - Has no Memory requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:get-facts
	Node:bramega340.internal.domain - Has no CPU requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:expose-json
	Node:bramega340.internal.domain - Has no Memory requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:expose-json
	Node:bramega340.internal.domain - Has no CPU requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:x509-exporter
	Node:bramega340.internal.domain - Has no Memory requests for Pod:cert-facts-istio-brands-5784ddf788-4wtpz | Container:x509-exporter
	Node:bramega380.internal.domain - Has no CPU requests for Pod:docker-registry-6d7b9cfbd6-gpqrb | Container:nginx
	Node:bramega380.internal.domain - Has no Memory requests for Pod:docker-registry-6d7b9cfbd6-gpqrb | Container:nginx
	Node:bramega380.internal.domain - Has no CPU requests for Pod:kubernetes-dashboard-5f478c6b46-x4dkp | Container:dashboard-metrics-scraper
	Node:bramega380.internal.domain - Has no Memory requests for Pod:kubernetes-dashboard-5f478c6b46-x4dkp | Container:dashboard-metrics-scraper
	Node:bramega340.internal.domain - Has no Memory requests for Pod:kubernetes-dashboard-metrics-server-84ff44ffdb-h84nr | Container:metrics-server
	Node:bramega330.internal.domain - Has no CPU requests for Pod:rke2-snapshot-controller-5c9df4d7d6-rjhb9 | Container:rke2-snapshot-controller
	Node:bramega330.internal.domain - Has no Memory requests for Pod:rke2-snapshot-controller-5c9df4d7d6-rjhb9 | Container:rke2-snapshot-controller
	Node:bramega330.internal.domain - Has no CPU requests for Pod:rke2-snapshot-validation-webhook-54f487ff94-4jmv5 | Container:rke2-snapshot-validation-webhook
	Node:bramega330.internal.domain - Has no Memory requests for Pod:rke2-snapshot-validation-webhook-54f487ff94-4jmv5 | Container:rke2-snapshot-validation-webhook
	Node:bramega390.internal.domain - Has no Memory requests for Pod:kubernetes-events-67cb567d55-6745s | Container:fluent-bit
	Node:bramega350.internal.domain - Has no CPU requests for Pod:alertmanager-monitoring-kube-prometheus-alertmanager-0 | Container:alertmanager
	Node:bramega330.internal.domain - Has no CPU requests for Pod:elastalert2-54c5c6dd44-5dccd | Container:elastalert
	Node:bramega330.internal.domain - Has no Memory requests for Pod:elastalert2-54c5c6dd44-5dccd | Container:elastalert
	Node:bramega390.internal.domain - Has no CPU requests for Pod:monitoring-grafana-0 | Container:dashboards-downloader
	Node:bramega390.internal.domain - Has no Memory requests for Pod:monitoring-grafana-0 | Container:dashboards-downloader
	Node:bramega360.internal.domain - Has no Memory requests for Pod:monitoring-kube-state-metrics-7d4ddc7dcc-txtt9 | Container:kube-state-metrics
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-4khcx | Container:node-exporter
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-4khcx | Container:node-exporter
	Node:bramega340.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-7szb6 | Container:node-exporter
	Node:bramega340.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-7szb6 | Container:node-exporter
	Node:bramega330.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-7z2ld | Container:node-exporter
	Node:bramega330.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-7z2ld | Container:node-exporter
	Node:bramega380.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-86kzp | Container:node-exporter
	Node:bramega380.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-86kzp | Container:node-exporter
	Node:bramega390.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-8zktk | Container:node-exporter
	Node:bramega390.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-8zktk | Container:node-exporter
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-bldz6 | Container:node-exporter
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-bldz6 | Container:node-exporter
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-d2wrn | Container:node-exporter
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-d2wrn | Container:node-exporter
	Node:bramega360.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-qd72h | Container:node-exporter
	Node:bramega360.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-qd72h | Container:node-exporter
	Node:bramega370.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-shqb9 | Container:node-exporter
	Node:bramega370.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-shqb9 | Container:node-exporter
	Node:bramega350.internal.domain - Has no CPU requests for Pod:monitoring-prometheus-node-exporter-xgj7p | Container:node-exporter
	Node:bramega350.internal.domain - Has no Memory requests for Pod:monitoring-prometheus-node-exporter-xgj7p | Container:node-exporter
	Node:bramega380.internal.domain - Has no CPU requests for Pod:prometheus-pushgateway-58c8577b88-vnb7l | Container:pushgateway
	Node:bramega380.internal.domain - Has no Memory requests for Pod:prometheus-pushgateway-58c8577b88-vnb7l | Container:pushgateway
	Node:bramega330.internal.domain - Has no CPU requests for Pod:nfs-provisioner-6cf78f7b-6mnwf | Container:nfs-subdir-external-provisioner
	Node:bramega330.internal.domain - Has no Memory requests for Pod:nfs-provisioner-6cf78f7b-6mnwf | Container:nfs-subdir-external-provisioner
	Node:bramega370.internal.domain - Has no CPU requests for Pod:rapid7-monitor-5884b4585c-p762b | Container:kubernetes-agent
	Node:bramega390.internal.domain - Has no CPU requests for Pod:fluentd-node-454g5 | Container:fluentd
	Node:bramega390.internal.domain - Has no Memory requests for Pod:fluentd-node-454g5 | Container:fluentd
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:fluentd-node-8ff9d | Container:fluentd
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:fluentd-node-8ff9d | Container:fluentd
	Node:bramega350.internal.domain - Has no CPU requests for Pod:fluentd-node-hpwjs | Container:fluentd
	Node:bramega350.internal.domain - Has no Memory requests for Pod:fluentd-node-hpwjs | Container:fluentd
	Node:bramega370.internal.domain - Has no CPU requests for Pod:fluentd-node-hrn8g | Container:fluentd
	Node:bramega370.internal.domain - Has no Memory requests for Pod:fluentd-node-hrn8g | Container:fluentd
	Node:bramega340.internal.domain - Has no CPU requests for Pod:fluentd-node-kmrxg | Container:fluentd
	Node:bramega340.internal.domain - Has no Memory requests for Pod:fluentd-node-kmrxg | Container:fluentd
	Node:bramega360.internal.domain - Has no CPU requests for Pod:fluentd-node-lvjsh | Container:fluentd
	Node:bramega360.internal.domain - Has no Memory requests for Pod:fluentd-node-lvjsh | Container:fluentd
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:fluentd-node-pmxqm | Container:fluentd
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:fluentd-node-pmxqm | Container:fluentd
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:fluentd-node-prxrl | Container:fluentd
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:fluentd-node-prxrl | Container:fluentd
	Node:bramega380.internal.domain - Has no CPU requests for Pod:fluentd-node-sjr76 | Container:fluentd
	Node:bramega380.internal.domain - Has no Memory requests for Pod:fluentd-node-sjr76 | Container:fluentd
	Node:bramega330.internal.domain - Has no CPU requests for Pod:fluentd-node-wgj76 | Container:fluentd
	Node:bramega330.internal.domain - Has no Memory requests for Pod:fluentd-node-wgj76 | Container:fluentd
	Node:bramega330.internal.domain - Has no CPU requests for Pod:tigera-guardian-564fb4d4cd-pzwn2 | Container:tigera-guardian
	Node:bramega330.internal.domain - Has no Memory requests for Pod:tigera-guardian-564fb4d4cd-pzwn2 | Container:tigera-guardian
	Node:bramega330.internal.domain - Has no CPU requests for Pod:intrusion-detection-controller-865df858f5-gqzwj | Container:controller
	Node:bramega330.internal.domain - Has no Memory requests for Pod:intrusion-detection-controller-865df858f5-gqzwj | Container:controller
	Node:bramega330.internal.domain - Has no CPU requests for Pod:intrusion-detection-controller-865df858f5-gqzwj | Container:webhooks-processor
	Node:bramega330.internal.domain - Has no Memory requests for Pod:intrusion-detection-controller-865df858f5-gqzwj | Container:webhooks-processor
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:tigera-operator-767b668b49-jqws5 | Container:tigera-operator
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:tigera-operator-767b668b49-jqws5 | Container:tigera-operator
	Node:bramega330.internal.domain - Has no CPU requests for Pod:alertmanager-calico-node-alertmanager-0 | Container:alertmanager
	Node:bramega390.internal.domain - Has no CPU requests for Pod:alertmanager-calico-node-alertmanager-1 | Container:alertmanager
	Node:bramega330.internal.domain - Has no CPU requests for Pod:prometheus-calico-node-prometheus-0 | Container:prometheus
	Node:bramega330.internal.domain - Has no CPU requests for Pod:prometheus-calico-node-prometheus-0 | Container:authn-proxy
	Node:bramega330.internal.domain - Has no Memory requests for Pod:prometheus-calico-node-prometheus-0 | Container:authn-proxy
	Node:bramega330.internal.domain - Has no CPU requests for Pod:tigera-apiserver-6f7b6767b-7n75g | Container:calico-apiserver
	Node:bramega330.internal.domain - Has no Memory requests for Pod:tigera-apiserver-6f7b6767b-7n75g | Container:calico-apiserver
	Node:bramega330.internal.domain - Has no CPU requests for Pod:tigera-apiserver-6f7b6767b-7n75g | Container:tigera-queryserver
	Node:bramega330.internal.domain - Has no Memory requests for Pod:tigera-apiserver-6f7b6767b-7n75g | Container:tigera-queryserver
	Node:bramega390.internal.domain - Has no CPU requests for Pod:tigera-apiserver-6f7b6767b-tddw5 | Container:calico-apiserver
	Node:bramega390.internal.domain - Has no Memory requests for Pod:tigera-apiserver-6f7b6767b-tddw5 | Container:calico-apiserver
	Node:bramega390.internal.domain - Has no CPU requests for Pod:tigera-apiserver-6f7b6767b-tddw5 | Container:tigera-queryserver
	Node:bramega390.internal.domain - Has no Memory requests for Pod:tigera-apiserver-6f7b6767b-tddw5 | Container:tigera-queryserver

Generic node info:
	bramega340.internal.domain : CPU: 98520.0 / 111900.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['dex-server', 'server', 'calico-node', 'calico-csi', 'csi-node-driver-registrar', 'driver', 'registrar', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'metrics', 'metrics', 'metrics', 'get-facts', 'expose-json', 'x509-exporter', 'node-exporter', 'fluentd']
	bramega370.internal.domain : CPU: 97900.0 / 110300.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['calico-node', 'calico-csi', 'csi-node-driver-registrar', 'cert-manager', 'driver', 'registrar', 'falcon-image-analyzer', 'core-logrotate', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'metrics', 'metrics', 'metrics', 'node-exporter', 'kubernetes-agent', 'fluentd']
	bramega380.internal.domain : CPU: 86820.0 / 108350.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['controller-manager', 'controller', 'calico-node', 'calico-csi', 'csi-node-driver-registrar', 'cert-manager', 'couchbase-operator', 'driver', 'registrar', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'metrics', 'prometheus-couchlabs-exporter', 'nginx', 'dashboard-metrics-scraper', 'node-exporter', 'pushgateway', 'fluentd']
	bramega330.internal.domain : CPU: 79650.0 / 97650.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['calico-kube-controllers', 'calico-node', 'calico-csi', 'csi-node-driver-registrar', 'fleet-agent', 'cluster-register', 'rancher-webhook', 'attacher', 'resizer', 'provisioner', 'snapshotter', 'csi-metadata-retriever', 'driver', 'driver', 'registrar', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'core-logrotate', 'core-logrotate', 'core-logrotate', 'rke2-snapshot-controller', 'rke2-snapshot-validation-webhook', 'elastalert', 'node-exporter', 'nfs-subdir-external-provisioner', 'fluentd', 'tigera-guardian', 'controller', 'webhooks-processor', 'alertmanager', 'prometheus', 'authn-proxy', 'calico-apiserver', 'tigera-queryserver']
	bramega350.internal.domain : CPU: 79230.0 / 101200.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['argo-server', 'applicationset-controller', 'notifications-controller', 'redis', 'calico-node', 'calico-csi', 'csi-node-driver-registrar', 'nginx', 'driver', 'registrar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'core-logrotate', 'git-checkout', 'core-logrotate', 'alertmanager', 'node-exporter', 'fluentd']
	bramega360.internal.domain : CPU: 79160.0 / 100150.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['calico-node', 'calico-csi', 'csi-node-driver-registrar', 'cert-manager', 'driver', 'registrar', 'core-logrotate', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'metrics', 'metrics', 'node-exporter', 'fluentd']
	bramega390.internal.domain : CPU: 76980.0 / 89900.0 [Node capacity: cpu: 128; mem: 754.56Gi] | No CPU for : ['calico-node', 'calico-typha', 'calico-csi', 'csi-node-driver-registrar', 'couchbase-operator', 'karavi-metrics-powerstore', 'karavi-topology', 'nginx-proxy', 'otel-collector', 'driver', 'registrar', 'core-logrotate', 'sync-sidecar', 'core-logrotate', 'git-checkout', 'core-logrotate', 'metrics', 'core-logrotate', 'dashboards-downloader', 'node-exporter', 'fluentd', 'alertmanager', 'calico-apiserver', 'tigera-queryserver']
	site-alpha-pop-k8s-master-01.internal.domain : CPU: 1235.0 / 2200.0 [Node capacity: cpu: 4; mem: 15.34Gi] | No CPU for : ['calico-node', 'calico-csi', 'csi-node-driver-registrar', 'system-upgrade-controller', 'node-exporter', 'fluentd']
	site-alpha-pop-k8s-master-02.internal.domain : CPU: 1110.0 / 2000.0 [Node capacity: cpu: 4; mem: 15.34Gi] | No CPU for : ['calico-node', 'calico-typha', 'calico-csi', 'csi-node-driver-registrar', 'node-exporter', 'fluentd', 'tigera-operator']
	site-alpha-pop-k8s-master-03.internal.domain : CPU: 1110.0 / 2000.0 [Node capacity: cpu: 4; mem: 15.34Gi] | No CPU for : ['calico-node', 'calico-typha', 'calico-csi', 'csi-node-driver-registrar', 'cluster-register', 'node-exporter', 'fluentd']


bramega330.internal.domain (rke2):
	*****PODS******
	calico-cloud-649b5fdb7d-rs4d5 
		calico-cloud [cc-operator:v1.20.0] | CPU:200m/250m | MEM:200Mi/300Mi
	cc-core-operator-567945d476-cxgvz 
		cc-core [cc-core:v0.2.18] | CPU:10m/500m | MEM:64Mi/128Mi
	calico-kube-controllers-586477cbb8-gnkbm 
		calico-kube-controllers [kube-controllers:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	calico-node-4mpw7 
		calico-node [cnx-node:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	csi-node-driver-wmtvx 
		calico-csi [csi:v3.21.0-1.0] | CPU:None/None | MEM:None/None
		csi-node-driver-registrar [node-driver-registrar:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	fleet-agent-f7dc57db7-sqpff 
		fleet-agent [fleet-agent:v0.9.5] | CPU:None/None | MEM:None/None
	cattle-cluster-agent-56dc7749f4-lqjgc 
		cluster-register [rancher-agent:v2.8.5] | CPU:None/None | MEM:None/None
	rancher-webhook-fd7599678-v8z6k 
		rancher-webhook [rancher-webhook:v0.4.7] | CPU:None/None | MEM:None/None
	consul-consul-rlhw9 
		consul [consul:1.10.0] | CPU:100m/100m | MEM:100Mi/100Mi
	powerstore-controller-648dbb59dc-d49bz 
		attacher [csi-attacher:v4.8.1] | CPU:None/None | MEM:None/None
		resizer [csi-resizer:v1.13.2] | CPU:None/None | MEM:None/None
		provisioner [csi-provisioner:v5.2.0] | CPU:None/None | MEM:None/None
		snapshotter [csi-snapshotter:v8.2.1] | CPU:None/None | MEM:None/None
		csi-metadata-retriever [csi-metadata-retriever:v1.11.0] | CPU:None/None | MEM:None/None
		driver [csi-powerstore:v2.14.0] | CPU:None/None | MEM:None/None
	powerstore-node-xl4f8 
		driver [csi-powerstore:v2.14.0] | CPU:None/None | MEM:None/None
		registrar [csi-node-driver-registrar:v2.13.0] | CPU:None/None | MEM:None/None
	gpas-container-blue-zone-a-0 
		sync-sidecar [gpas-engines-downloader:0.3.16] | CPU:None/None | MEM:None/None
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-container [gpas-container:10.X.X.X] | CPU:8/8 | MEM:28Gi/28Gi | JAVA_OPTS:-Xms6G -Xmx6G
	gpas-core-blue-777884f8b4-fznmt 
		git-checkout [pg_tools:0.0.3] | CPU:None/None | MEM:None/None
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-core [gpas-core:10.X.X.X] | CPU:8/8 | MEM:24Gi/24Gi | JAVA_OPTS:-Xms12G -Xmx12G
	gpas-forfun-76d5548d44-zwmtq 
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-forfun [forfun:10.X.X.X] | CPU:2/2 | MEM:4Gi/4Gi | JAVA_OPTS:-Xms1508m -Xmx1508m
	gpas-front-64dfb9689d-svgd5 
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-front [gpas-front:10.X.X.X] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8G -Xmx8G
	gpas-mp-687df9444b-rxhfr 
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-mp [gpasmp:10.X.X.X] | CPU:8/8 | MEM:24Gi/24Gi | JAVA_OPTS:-Xms20G -Xmx20G
	istio-ingressgateway-private-sj8rn 
		istio-proxy [proxyv2:1.24.0-distroless] | CPU:1/2 | MEM:1Gi/1Gi
	istio-ingressgateway-privil-gdbx9 
		istio-proxy [proxyv2:1.24.0-distroless] | CPU:1/2 | MEM:1Gi/1Gi
	istio-ingressgateway-public-9nfrc 
		istio-proxy [proxyv2:1.24.0-distroless] | CPU:1/2 | MEM:1Gi/1Gi
	kube-proxy-bramega330.internal.domain 
		kube-proxy [hardened-kubernetes:v1.28.15-rke2r1-build20241023] | CPU:250m/None | MEM:128Mi/None
	rke2-coredns-rke2-coredns-76f6bd7996-wg66s 
		coredns [hardened-coredns:v1.11.3-build20241018] | CPU:100m/100m | MEM:128Mi/128Mi
	rke2-metrics-server-7694cf7d77-r6pbr 
		metrics-server [hardened-k8s-metrics-server:v0.7.1-build20241008] | CPU:100m/None | MEM:200Mi/None
	rke2-snapshot-controller-5c9df4d7d6-rjhb9 
		rke2-snapshot-controller [mirrored-sig-storage-snapshot-controller:v8.1.0] | CPU:None/None | MEM:None/None
	rke2-snapshot-validation-webhook-54f487ff94-4jmv5 
		rke2-snapshot-validation-webhook [mirrored-sig-storage-snapshot-validation-webhook:v8.1.0] | CPU:None/None | MEM:None/None
	elasticsearch-master-0 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	elasticsearch-master-10 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	elasticsearch-master-19 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	elasticsearch-master-23 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	elasticsearch-master-37 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	elasticsearch-master-7 
		elasticsearch [elasticsearch:7.17.16] | CPU:4/4 | MEM:16Gi/16Gi | JAVA_OPTS:-Xms8g -Xmx8g
	fluent-bit-b8pkp 
		fluent-bit [fluent-bit:3.0.4] | CPU:10m/2 | MEM:100Mi/8Gi
	kibana-aio-kibana-877f8fdd4-pgg7c 
		kibana [kibana:7.16.2] | CPU:500m/1 | MEM:2Gi/2Gi
	logstash-aio-logstash-4 
		logstash [logstash:7.17.16] | CPU:4/4 | MEM:5Gi/8Gi | JAVA_OPTS:-Xms4096m -Xmx4096m
	logstash-aio-logstash-7 
		logstash [logstash:7.17.16] | CPU:4/4 | MEM:5Gi/8Gi | JAVA_OPTS:-Xms4096m -Xmx4096m
	logstash-aio-logstash-9 
		logstash [logstash:7.17.16] | CPU:4/4 | MEM:5Gi/8Gi | JAVA_OPTS:-Xms4096m -Xmx4096m
	elastalert2-54c5c6dd44-5dccd 
		elastalert [elastalert2:2.12.0] | CPU:None/None | MEM:None/None
	monitoring-prometheus-node-exporter-7z2ld 
		node-exporter [node-exporter:v1.0.1] | CPU:None/None | MEM:None/None
	prometheus-exporters-prometheus-elasticsearch-exporter-7ddkvwbw 
		exporter [elasticsearch-exporter:v1.3.0] | CPU:500m/1 | MEM:1Gi/1Gi
	vmcluster-victoria-metrics-cluster-vminsert-6664c8f7fd-k5d5r 
		victoria-metrics-cluster-vminsert [vminsert:v1.96.0-cluster] | CPU:500m/2 | MEM:256Mi/2Gi
	nfs-provisioner-6cf78f7b-6mnwf 
		nfs-subdir-external-provisioner [nfs-subdir-external-provisioner:v4.0.2] | CPU:None/None | MEM:None/None
	nginx-be-579d85775c-fvcpk 
		nginx [nginx:1.21.6-debian-10-r69] | CPU:500m/2 | MEM:500Mi/1Gi
		metrics [nginx-exporter:0.10.0-debian-10-r8] | CPU:500m/2 | MEM:500Mi/1Gi
		consul-template [consul-template:0.27.2] | CPU:100m/200m | MEM:128Mi/128Mi
	ms-wallet-25-5-0-22-84c844cf48-bbcpz 
		ms-wallet [ms-wallet:10.X.X.X] | CPU:500m/1 | MEM:2Gi/2Gi | JAVA_OPTS:-Xms1400m -Xmx1400m
	pop-push-25-6-0-15-585fbcbf69-5wnzm 
		pop-push [pop-mvc-push:10.X.X.X] | CPU:2/4 | MEM:3Gi/3Gi | JAVA_OPTS:-Xms2048m -Xmx2048m
		pop-gc-logs-collector [pg_tools:0.0.3] | CPU:20m/200m | MEM:128Mi/512Mi
	pop-system-6c759f7c7b-h9wxk 
		pop-system [pop-mvc-system:10.X.X.X] | CPU:500m/500m | MEM:1Gi/1Gi | JAVA_OPTS:-Xms512m -Xmx512m
		pop-gc-logs-collector [pg_tools:0.0.3] | CPU:20m/200m | MEM:128Mi/512Mi
	pop-wallet-25-6-0-16-7566b9db59-pvf78 
		pop-wallet [pop-mvc-wallet:10.X.X.X] | CPU:2/4 | MEM:4Gi/4Gi | JAVA_OPTS:-Xms3072m -Xmx3072m
		pop-gc-logs-collector [pg_tools:0.0.3] | CPU:20m/200m | MEM:128Mi/512Mi
	pop-wallet-25-6-0-16-7566b9db59-vq9zr 
		pop-wallet [pop-mvc-wallet:10.X.X.X] | CPU:2/4 | MEM:4Gi/4Gi | JAVA_OPTS:-Xms3072m -Xmx3072m
		pop-gc-logs-collector [pg_tools:0.0.3] | CPU:20m/200m | MEM:128Mi/512Mi
	fluentd-node-wgj76 
		fluentd [fluentd:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	tigera-guardian-564fb4d4cd-pzwn2 
		tigera-guardian [guardian:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	intrusion-detection-controller-865df858f5-gqzwj 
		controller [intrusion-detection-controller:v3.21.0-1.0] | CPU:None/None | MEM:None/None
		webhooks-processor [webhooks-processor:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	alertmanager-calico-node-alertmanager-0 
		alertmanager [alertmanager:v3.21.0-1.0] | CPU:None/None | MEM:200Mi/None
		config-reloader [prometheus-config-reloader:v0.53.0] | CPU:100m/100m | MEM:50Mi/50Mi
	prometheus-calico-node-prometheus-0 
		prometheus [prometheus:v3.21.0-1.0] | CPU:None/None | MEM:400Mi/None
		config-reloader [prometheus-config-reloader:v0.53.0] | CPU:100m/100m | MEM:50Mi/50Mi
		authn-proxy [prometheus-service:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	tigera-apiserver-6f7b6767b-7n75g 
		calico-apiserver [cnx-apiserver:v3.21.0-1.0] | CPU:None/None | MEM:None/None
		tigera-queryserver [cnx-queryserver:v3.21.0-1.0] | CPU:None/None | MEM:None/None
bramega340.internal.domain (rke2):
	*****PODS******
	argocd-dex-server-bbb9588d5-4rrkb 
		dex-server [dex:v2.38.0] | CPU:None/None | MEM:None/None
	argocd-server-5dcc5b6d8-s4mpx 
		server [argocd-sops:v2.10.7] | CPU:None/None | MEM:None/None
	calico-node-8l7zv 
		calico-node [cnx-node:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	csi-node-driver-hxhcn 
		calico-csi [csi:v3.21.0-1.0] | CPU:None/None | MEM:None/None
		csi-node-driver-registrar [node-driver-registrar:v3.21.0-1.0] | CPU:None/None | MEM:None/None
	consul-consul-g8dkk 
		consul [consul:1.10.0] | CPU:100m/100m | MEM:100Mi/100Mi
	consul-consul-server-2 
		consul [consul:1.10.0] | CPU:100m/1 | MEM:128Mi/1Gi
	powerstore-node-h9ll6 
		driver [csi-powerstore:v2.14.0] | CPU:None/None | MEM:None/None
		registrar [csi-node-driver-registrar:v2.13.0] | CPU:None/None | MEM:None/None
	gpas-container-blue-zone-a-3 
		sync-sidecar [gpas-engines-downloader:0.3.16] | CPU:None/None | MEM:None/None
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-container [gpas-container:10.X.X.X] | CPU:8/8 | MEM:28Gi/28Gi | JAVA_OPTS:-Xms6G -Xmx6G
	gpas-core-blue-777884f8b4-txs49 
		git-checkout [pg_tools:0.0.3] | CPU:None/None | MEM:None/None
		core-logrotate [logrotate-tool:0.1] | CPU:None/None | MEM:None/None
		gpas-core [gpas-core:10.X.X.X] | CPU:8/8 | MEM:24Gi/24Gi | JAVA_OPTS:-Xms12G -Xmx12G
	gpas-couchbase-0000 
		couchbase-server [server:enterprise-7.2.5] | CPU:16/16 | MEM:64Gi/64Gi
		metrics [exporter:1.0.5] | CPU:None/None | MEM:None/None
	gpas-couchbase-0007 
		couchbase-server [server:enterprise-7.2.5] | CPU:16/16 | MEM:64Gi/64Gi
		metrics [exporter:1.0.5] | CPU:None/None | MEM:None/None
	gpas-chat-6567c69d74-d7fvg 
		gpas-chat [ms-chat-service:10.X.X.X] | CPU:500m/1 | MEM:2Gi/2Gi | JAVA_OPTS:-Xms1536m -Xmx1536m
	popgpas-redis-cluster-node-0 
